,Name,City,Portfolio Manager,Trustee,Supervisory organisation
660,Helvetia Trust Company SA,Lugano,,X,OSFIN Organisation de surveillance financière
661,Helvetic Investor Group SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
662,Helvetic Trust AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
663,Helvetica Advisors SA,Lugano,X,,OSFIN Organisation de surveillance financière
664,Hemmca Capital AG,Schindellegi,X,,FINcontrol Suisse AG
665,Henry Heyden SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
666,Herculis Partners SA,Porrentruy,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
667,Heron Wealth Management SA,Collonge-Bellerive,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
668,HF SWISS AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
669,High Conviction Ideas Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
670,Highvern AG,Zug,,X,FINcontrol Suisse AG
671,Himstedt Investment Services AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
672,Hinder Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
