,Name,City,Portfolio Manager,Trustee,Supervisory organisation
288,Capital Vision SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
289,Capital Vision Wealth Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
290,CAPITAL Y SA,Chêne-Bourg,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
291,CAPITALIA (SUISSE) SARL,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
292,Capitalium Advisors SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
293,Capitalsuite SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
294,CAPITELIA INVEST SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
295,capQon AG,Arni AG,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
296,Carduus Wealth Advisors AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
297,Carey AG,Zürich,,X,OSFIN Organisation de surveillance financière
298,Carré Trust AG,Zürich,,X,FINcontrol Suisse AG
299,Carte Blanche Trust AG,Zug,,X,FINcontrol Suisse AG
300,CAT Wealth Management AG,Zürich,X,,FINcontrol Suisse AG
301,Catey GmbH,Zürich,X,,FINcontrol Suisse AG
302,CAYROS Capital AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
303,CB Consulting AG,Herrliberg,X,,OSFIN Organisation de surveillance financière
304,CBC Finance AG,Zug,X,,FINcontrol Suisse AG
305,CDMA SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
306,CdR Capital SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
307,CEFISA Associés SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
308,Celer Asset Management AG,Arbon,X,,FINcontrol Suisse AG
309,CENTIQE AG,Zürich,X,,FINcontrol Suisse AG
310,Centro Studi Monte SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
311,CEP SA Gestion de Fortune,Fribourg,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
312,CFG - Compagnie Financière Genevoise 1855 SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
313,CGS Management AG,Pfäffikon SZ,X,,FINcontrol Suisse AG
314,Chefinvest AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
315,CHENTON SA,Nyon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
316,CHF Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
317,CHIYODA TRUST AG,Zürich,X,,FINcontrol Suisse AG
318,Christina Castelberg,Zollikon,,X,OSFIN Organisation de surveillance financière
319,CIGP COMPAGNIE D'INVESTISSEMENTS ET DE GESTION PRIVEE SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
320,Cimen Advisor,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
321,CIO AG,Thalwil,X,,FINcontrol Suisse AG
322,CISA Trust Company (Switzerland) SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
323,Citadel Finance SA,Genève 12,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
324,Cititrust (Switzerland) Limited,Zürich,,X,FINcontrol Suisse AG
325,Cititrust Private Trust Zurich GmbH,Zürich,,X,FINcontrol Suisse AG
326,CJC ADVISORS SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
327,Clarity Partners SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
328,Clarus Capital Group AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
329,Classic Consulting AG,St. Margrethen SG,X,,FINcontrol Suisse AG
330,Classic Invest AG,Birmenstorf AG,X,,FINcontrol Suisse AG
331,Clavis Partners AG,Zürich,X,,FINcontrol Suisse AG
332,Clearwater Investments Sàrl,Nyon,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
333,Clipperton SA,Sion,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
334,cm plus SA,Lugano,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
335,CMR MANAGEMENT SERVICES SA,Vandoeuvres,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
336,CO.MO.I. (Suisse) SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
337,CODELCO Family Office AG,Zürich,,X,OSFIN Organisation de surveillance financière
338,COFRA Financial Management AG,Zug,X,,OSFIN Organisation de surveillance financière
339,Coges Corraterie Gestion SA,Genève 3,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
340,Colin & Cie. Schweiz AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
341,Colivar Gestion AG,Zug,X,,FINcontrol Suisse AG
342,Columbus Private (Suisse) SA,Genève,X,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
343,Comnia Group AG,Baar,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
344,Concept Capital Group AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
345,Concorde Wealth Management S.A.,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
346,Cone Marshall Swiss Trustees SA,Genève 3,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
347,Connexel GmbH,Kreuzlingen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
348,Conseillers Suisse I.G. AG,Wollerau,X,,OSFIN Organisation de surveillance financière
349,Consensus Partner AG,St. Gallen,X,,OSFIN Organisation de surveillance financière
350,Consilior AG,Birsfelden,X,,FINcontrol Suisse AG
351,Constantino Financial Group SA,Founex,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
352,Convergence SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
353,Corby SA,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
354,Core (Trustee) Service SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
355,Corestone Investment Managers AG,Zug,X,,OSFIN Organisation de surveillance financière
356,Cornamusaz Finance SA,Lausanne,X,,OSFIN Organisation de surveillance financière
357,Corpa Switzerland AG,Zug,X,,OSFIN Organisation de surveillance financière
358,CORUM Vermögensverwaltung AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
359,Corum Wealth Management Platform AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
360,Cosmopolitan-Vermögensverwaltungs-AG,Appenzell,X,,OSFIN Organisation de surveillance financière
361,CP & PARTNERS SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
362,cpm ag capital private management,Zug,X,,FINcontrol Suisse AG
363,C-Quadrat (Suisse) SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
364,CRDH Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
365,Creda Finanz und Beratungs AG,Tübach,X,,FINcontrol Suisse AG
366,creditworld Capital AG,Zürich,X,,FINcontrol Suisse AG
367,Crescent Trustee GmbH,Zollikon,,X,FINcontrol Suisse AG
368,CRESO Financial Services SA,Monthey,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
369,Cresta Capital Partners AG,Feusisberg,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
370,Criptonite Asset Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
371,CRISTAL CAPITAL SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
372,Crossinvest Locarno SA,Locarno,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
373,Crossinvest Zürich AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
374,Crypto Consulting AG,Zürich,X,,FINcontrol Suisse AG
375,CTCL Management (Suisse) SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
376,Custodia Wealth Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
377,CV Invest Partners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
378,CWM ConFides Wealth Management GmbH,Wilen b. Wollerau,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
379,D&D SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
380,D&F Vermögensverwaltung AG,Luzern,X,,FINcontrol Suisse AG
381,D&S Capital Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
382,D&S Wealth Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
383,Dangel Asset Management,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
384,Dara Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
385,DB Invest SA,Nyon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
386,DBC Vermögensverwaltung AG,Uster,X,,FINcontrol Suisse AG
387,DCAP AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
388,Decalia Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
389,Decentia Wealth AG,Zug,X,,FINcontrol Suisse AG
390,Deep Field Capital AG,Zug,X,,OSFIN Organisation de surveillance financière
391,Del Mar Research GmbH,Zug,X,,OSFIN Organisation de surveillance financière
392,Delbert Capital Management AG,Hünenberg,X,,FINcontrol Suisse AG
393,Delta Coaching GmbH,Walchwil,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
394,Delta Gestion SA,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
395,DENARIUS CONSEILS & GESTION SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
396,Descartes Finance AG,Zürich,X,,OSFIN Organisation de surveillance financière
397,Detlefson Anlageberatung AG,Wettingen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
398,DF Delta Finance SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
399,DF-Asset Allocation Advisory Ltd,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
400,DIDISHEIM FINANCE SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
401,DISERENS Finance SA,Epalinges,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
402,Dixcart Trustees (Switzerland) SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
403,DJE Finanz AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
404,DL Vermögensverwaltung GmbH,Zug,X,,OSFIN Organisation de surveillance financière
